Nom,Téléphone,Site Web,Adresse,Note Google,Nombre d'avis,Région,Latitude,Longitude
L. Project | Architectes d'Intérieur - Conception & Réalisation,07 67 74 18 56,https://lproject.paris/,"29 Rue des Volontaires, 75015 Paris, France",5,15,IDF,48.8412877,2.308306
Agence Véronique Cotrel,01 88 32 64 80,http://www.verocotrel.fr/,"51 Rue Jean-Jacques Rousseau, 75001 Paris, France",5,39,IDF,48.8640543,2.3428669
Maison Pavan - Architecte d'intérieur Paris,,http://www.maisonpavan.com/,"109 Rue du Faubourg du Temple, 75010 Paris, France",5,9,IDF,48.8711452,2.3741116
Homenext | Architecture & Rénovation d'intérieur,07 56 96 54 90,http://homenext.co/,"14 Rue de l'Archevêché, 94220 Charenton-le-Pont, France",5,65,IDF,48.8224404,2.406319
Studio Saint-André Architecture & Design,06 88 58 38 07,http://www.sophiesaintandre.fr/,"109 Rue du Bac, 75007 Paris, France",5,70,IDF,48.8523094,2.3237339
Architecte d'intérieur Paris - Manon Maillard,06 42 41 57 71,https://maillardmanon.com/,"26 Rue de la Folie-Regnault, 75011 Paris, France",5,11,IDF,48.857762,2.3879293
Mh Conception,01 87 66 91 22,http://www.mhconception.com/,"340 Rue des Pyrénées, 75020 Paris, France",5,10,IDF,48.87392579999999,2.3888753
Studio Castille,09 81 80 62 54,http://www.studiocastille.fr/,"30 Rue Pétion, 75011 Paris, France",4.8,87,IDF,48.8596808,2.3808788
Atelier Soo - Architecte à Paris,06 21 65 82 46,https://ateliersoo.fr/,"83 bis Rue de l'Abbé Groult, 75015 Paris, France",4.5,26,IDF,48.838659,2.2981645
Architecte d'Intérieur Paris｜ESPRIT PARISIENNE,06 03 45 92 01,https://www.espritparisiennearchitecture.com/,"58 Av. de Wagram, 75017 Paris, France",5,21,IDF,48.8790994,2.2993333
Architecte Intérieur Paris,06 87 14 27 58,https://www.architectes-interieur.fr/,"22 bis Rue Ledion, 75014 Paris, France",4.9,42,IDF,48.8270273,2.3161503
Agence KP,06 66 03 16 04,https://www.karineperez.com/,"5 Av. des Chasseurs, 75017 Paris, France",4.8,23,IDF,48.887255,2.30634
"Alohahome | Rénovation d'Appartement, Maison et Menuiserie Sur-Mesure à Paris",06 88 96 83 09,https://alohahome.fr/,"7 Av. Jean Jaurès, 75019 Paris, France",5,20,IDF,48.8833519,2.3716135
DAVID - DIDOT - ARCHITECTES,01 42 06 97 91,http://www.david-didot-architectes.com/,"69 Rue de Bretagne, 75003 Paris, France",5,73,IDF,48.8643951,2.3597288
Architecte d'intérieur - Paris d'intérieur,06 09 85 07 44,http://www.parisdinterieur.fr/,"28 Rue de Cherbourg, 75015 Paris, France",4.9,45,IDF,48.8308208,2.3035837
Archibien,01 88 32 99 15,https://archibien.com/france/ile-de-france/75-arrondissement-de-paris/75001-paris/architectes/,"Archibien - Station F 58 Rue Eugene Freyssinet, Inc. HEC, 75013 Paris, France",4.8,70,IDF,48.8345154,2.3708193
Atelier Sylvie Cahen - Architecte DPLG & d'Intérieur,01 44 49 07 08,http://www.ateliersylviecahen.com/,"19/21 Rue Claude Tillier, 75012 Paris, France",4.8,20,IDF,48.8483897,2.3881456
STUDIO POINT CARRÉ Architectes,06 27 67 50 38,http://www.studiopointcarre.com/,"6 Rue des Jeuneurs, 75002 Paris, France",5,30,IDF,48.8689735,2.3471919
L'as de La Rénovation paris - rénovation appartement paris - plan d’architecte Paris -,07 67 55 41 21,http://las-de-la-renovation.fr/,"32 Rue de la Félicité, 75017 Paris, France",4.8,23,IDF,48.8873538,2.310909
M2 Rénovation appartement paris entreprise construction bâtiment rénovation d'intérieur maison devis salle de bain cuisine,07 58 69 09 14,http://m2renovation.fr/,"5 Rue Legraverend, 75012 Paris, France",4.9,78,IDF,48.846489,2.3754218
Isabelle Tran | Architecte d'intérieur Paris,06 26 42 74 87,https://isabelletran.fr/,"20 Rue de la Cr des Noues, 75020 Paris, France",5,14,IDF,48.8644911,2.4018024
ID55 Architecte d'intérieur Paris / Rénovation/ Travaux tout corps d'état,06 12 87 34 62,,"54 Rue des Archives, 75004 Paris, France",5,6,IDF,48.8598513,2.3568617
Studio d'Archi,06 87 16 95 73,http://www.studiodarchi.fr/,"59 R. des Petites Écuries, 75010 Paris, France",4.6,14,IDF,48.8738869,2.3484228
Benoit Dufour Architecte DPLG,06 13 13 70 55,http://benoitdufourarchitecte.com/,"33 Rue de la Brèche aux Loups, 75012 Paris, France",5,13,IDF,48.8383248,2.395109
Bertina Minel Architecture- architecte et architecte d’intérieur,06 21 65 35 18,http://www.bertinaminel-architecture.com/,"9 Rue de Savoie, 75006 Paris, France",4.9,20,IDF,48.85415219999999,2.3413675
"Nouvel Espace, design d'intérieur Paris",06 59 53 04 02,https://ne-designinterieur.com/,"26 Rue Sainte-Félicite, 75015 Paris, France",5,9,IDF,48.8389692,2.3040165
"RENOVTALOC® SAS - Entreprise de rénovation d'appartements, bureaux et immeuble à Paris & IDF",07 83 98 88 20,https://www.renovtaloc.fr/,"29 Rue Tronchet, 75008 Paris, France",4.9,72,IDF,48.8728557,2.3260296
HL Rénovations - Maître d'oeuvre travaux de rénovation,06 58 80 21 89,https://www.hlrenovations.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1875134475915491932,"59 Av. Aristide Briand, 94240 L'Haÿ-les-Roses, France",0.0,0,IDF,48.7833875,2.3337196
M & A RENOV PERE & FILS,01 46 36 99 54,https://www.marenov-perefils.fr/,"60 Rue de La Jonquière, 75017 Paris, France",5,95,IDF,48.893966,2.3218943
Intégrale construction Maître d’œuvre - Tertiaire,06 51 89 05 16,http://integraleconstruction.fr/,"3 Rue de l'Arrivée cedex 87, 75015 Paris, France",4.8,27,IDF,48.8434039,2.3228976
QUALITRA MAITRE D’OEUVRE - MOE,07 64 05 81 21,https://www.qualitra-moe.com/,"7 Rue du Général Baratier, 75015 Paris, France",5,22,IDF,48.8509211,2.2995557
Working Renov ️ ️ ️ ️ ️ Entreprise rénovation Paris 🏻‍,01 85 53 91 36,https://www.entrepriserenovationparis.fr/,"10 Rue de Penthièvre, 75008 Paris, France",4.9,49,IDF,48.8731033,2.3166404
SQUARE RENOVATION,01 80 27 39 70,https://square-renovation.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"20 Rue Dupleix, 75015 Paris, France",5,42,IDF,48.85163559999999,2.2972166
ABATEC - Rénovation d'appartement à PARIS,09 53 22 07 05,https://www.abatec-renovation.fr/,"19 Rue Auguste Chabrières, 75015 Paris, France",5,19,IDF,48.83481769999999,2.2895721
Maryne SAINT-GILLES | Architecte d'intérieur & Maître d’œuvre à Paris • Optimisation d’espace • Optimisation énergétique,06 40 56 43 73,https://www.instagram.com/maryne.saintgilles/,"12 Rue Félicien David, 75016 Paris, France",4.7,14,IDF,48.8505083,2.2749797
AVOLTIS Rénovation - Paris & Île-de-France,01 89 19 25 80,https://avoltisrenovation.com/renovation-paris/,"137 Av. Jean Jaurès, 75019 Paris, France",4.7,36,IDF,48.88661,2.383736
️ Damour Habitat : Rénovation Appartement Paris 75 & Rénovation immeuble copros 75,06 60 38 11 74,https://www.renovation-appartement-75.fr/,"12 Rue Blanche, 75009 Paris, France",4.3,63,IDF,48.87759930000001,2.3321107
Athénaïs Plonka Architecture d’intérieur et Maître d œuvre,06 99 36 06 06,,"7 Rue de la Tour, 75016 Paris, France",4.4,8,IDF,48.85891549999999,2.2835998
BATINE Architecte d'intérieur - Maitre d'oeuvre,06 30 86 79 19,https://www.batine.com/,"35 Rue de l'Aigle, 92250 La Garenne-Colombes, France",5,9,IDF,48.90808269999999,2.2507342
Neobat Design,06 72 92 29 45,http://neobat-design.com/,"6 Rue d'Armaillé, 75017 Paris, France",4.6,11,IDF,48.8774828,2.2921401
Avenir Rénovations Paris 19e,01 86 65 46 27,https://www.avenir-renovations.fr/agence/avenir-renovations-75-paris/,"40 Rue d'Hautpoul, 75019 Paris, France",4.6,21,IDF,48.8835747,2.3879394
SPRG RENOV,06 62 90 20 05,https://sprgrenov.wixsite.com/sprgrenov,"31 Rue des Amandiers, 75020 Paris, France",4.9,11,IDF,48.8640707,2.3890793
Maître d’œuvre Lardy – La Charnière,06 98 03 73 08,https://lacharniere.fr/,"13 Rue Jacques Cartier, 91510 Lardy, France",4.9,33,IDF,48.528051,2.2887559
Benny Benlolo - Architecte d'intérieur,01 77 10 57 53,https://www.architecteinterieurs.com/,"49 Rue de Verneuil, 75007 Paris, France",5,17,IDF,48.8584538,2.3269365
Atelier C+M Paris - Cabinet d'ingénierie,01 74 64 55 29,https://www.ateliercplusm.com/,"5 Vla du Bois d'Orme, 75019 Paris, France",4.8,17,IDF,48.8763391,2.3996321
Atelier Besnault & Coffre,01 46 20 51 12,http://www.atelierbesnaultetcoffre.fr/,"11 Rue du Père Guérin, 75013 Paris, France",4.8,25,IDF,48.8302691,2.3540765
ATHENA Maîtrise d’Œuvre & Expertise,06 25 80 53 26,https://athenaconcept.fr/,"5 Grande Rue, 91630 Leudeville, France",5,30,IDF,48.5658664,2.3270233
RenovMax - Paris 16 / Ouest,07 81 08 54 91,https://renovmax.fr/,"23 Av. Léopold II, 75016 Paris, France",4.9,17,IDF,48.8525698,2.2712211
Cabinet CreArte,06 80 96 73 74,http://cabinet-crearte.com/contact/,"1 Pl. Paul Verlaine, 92100 Boulogne-Billancourt, France",2,4,IDF,48.8286027,2.240388
"Socorebat Paris (75) | Rénovation et Extension de Maison, Travaux tous corps d'état",09 72 12 39 99,https://www.socorebat-france.fr/ile-de-france/paris/paris/extension-maison,"76 Rue de la Pompe, 75116 Paris, France",3.4,5,IDF,48.8634156,2.2770047
MH INTERIOR - Sabrina Darmon | Architecte d’intérieur Paris 20e,07 70 49 03 44,https://mh-interior.fr/decorateur-ile-de-france/decorateur-architecte-interieur-paris-11e-20e/,"21 Rue de la Réunion, 75020 Paris, France",4.9,19,IDF,48.8536909,2.4027421
JUSTINE FERNANDES ARCHITECTURE,06 69 03 55 21,https://www.jfarchitecture.fr/,"99 Rue Jouffroy d'Abbans, 75017 Paris, France",5,7,IDF,48.8819409,2.3017028
Avenir Rénovations 94 Saint Mandé,01 84 88 51 62,https://www.avenir-renovations.fr/agence/avenir-renovations-94-saint-mande/,"5 Av. du Général de Gaulle, 94160 Saint-Mandé, France",4.8,6,IDF,48.8455824,2.4177968
La Maison Des Travaux,01 79 72 87 22,https://antony.lamaisondestravaux.com/,"229 Av. de la Division Leclerc, 92160 Antony, France",4.9,125,IDF,48.73610499999999,2.3017251
Atelier Reness - Architecte d'intérieur Paris,06 88 71 01 56,https://www.atelierreness.com/?utm_source=gmb,"17 Chau. de la Muette, 75016 Paris, France",4.6,11,IDF,48.8578529,2.2728534
ROM - ROUX ŒUVRE MAITRISE,01 42 96 50 60,https://r-o-m.fr/,"81 Rue Lecourbe, 75015 Paris, France",3,2,IDF,48.8431088,2.3048029
Agence Arnold - Des bureaux vivants !,01 45 38 90 71,http://www.arnold.fr/,"7 Vla Aublet, 75017 Paris, France",4.6,18,IDF,48.8828822,2.2946477
Rénov-A Paris | Rénovation immobilière à Paris,06 33 11 50 75,https://www.renov-a-paris.fr/,"5 Rue de la carbonnière, 78200 Fontenay-Mauvoisin, France",5,17,IDF,48.9644449,1.6497034
Avenir Rénovations Thiais,01 59 30 08 03,https://www.avenir-renovations.fr/agence/avenir-renovations-94-thiais/,"28 Av. des Pépinières, 94260 Fresnes, France",5,33,IDF,48.751804,2.339119
Artech Habitat,01 64 48 00 74,http://travaux-de-renovation.fr/,"8 Rue Maurice, 91160 Longjumeau, France",5,31,IDF,48.6940008,2.2886101
NDL Architecture,06 50 79 95 18,https://ndlarchitecture.com/,"18 Rue André del Sarte, 75018 Paris, France",5,10,IDF,48.8858711,2.345585
Agence Interia - Architecte d'interieur,06 99 38 15 88,https://www.houzz.fr/professionnels/artisan-et-entreprise-generale-de-batiment/agence-interia-pfvwfr-pf~1228867087,"60 Rue de La Jonquière, 75017 Paris, France",4,8,IDF,48.893966,2.3218946
Faire construire sa maison,01 40 56 33 00,https://www.construiresamaison.com/,"45 Rue du Cardinal Lemoine, 75005 Paris, France",3,1,IDF,48.847162,2.3528485
SERBA'NET sarl Travaux & Rénovation,01 47 28 85 48,http://www.serbanet.fr/,"28 Rue du Fécheray, 92150 Suresnes, France",4.7,58,IDF,48.8736439,2.218582800000001
ATELIER MADAME,06 95 07 89 37,https://ateliermadame.com/,"17 Rue Jean Beausire, 75004 Paris, France",5,4,IDF,48.85472439999999,2.3680035
Atelier Caroline Durst,06 25 76 89 24,http://carolinedurst.com/,"1 Rue Humblot, 75015 Paris, France",5,7,IDF,48.85096859999999,2.2928313
Céline Lortholary | MH INTERIOR,06 59 34 48 89,https://mh-interior.fr/decorateur-ile-de-france/decorateur-architecte-interieur-paris-75/,"21 Rue de Fécamp, 75012 Paris, France",4.8,19,IDF,48.8353504,2.3987758
inée,06 78 07 66 78,http://www.inee.archi/,"3 Rue Titon, 75011 Paris, France",4.6,9,IDF,48.850787,2.386326
Brycollet Agencement,07 67 84 06 49,https://www.brycollet-agencement.fr/,"12 All. du Prunier Hardy, 92220 Bagneux, France",5,2,IDF,48.8030476,2.3114212
Decorenov - Renovation Intérieur peinture - Vincennes,01 79 74 23 80,https://www.decorenov-paris.fr/,"31 Rue de Lagny, 94300 Vincennes, France",4.6,108,IDF,48.8490916,2.4225783
AQC (Agence Qualité Construction),01 44 51 03 51,https://www.qualiteconstruction.com/,"11 bis Av. Victor Hugo, 75116 Paris, France",4.9,8,IDF,48.8724193,2.2921447
HUSS Construction et Rénovation SARL,09 88 57 89 26,https://www.huss-construction.com/,"3 Rue Maurice Déménitroux, 94000 Créteil, France",4.3,6,IDF,48.7901134,2.4541786
FELD Architecture,09 54 60 21 49,http://www.feld-architecture.eu/,"21 Rue Rousselet, 75007 Paris, France",5,2,IDF,48.8489718,2.3185553
Monsieur Peinture,07 57 90 29 27,https://www.monsieurpeinture.com/,"137 Rue d'Aboukir, 75002 Paris, France",4.6,273,IDF,48.8691667,2.3513586
Art X Bat,01 42 17 02 60,http://www.artxbat.fr/,"17 Rue Rubens, 75013 Paris, France",2.7,9,IDF,48.8342055,2.3559186
NEVA Architecture Intérieure,06 26 25 77 87,https://www.nevainteriordesign.com/,"7 Rue Daniel Stern, 75015 Paris, France",5,5,IDF,48.8512084,2.2939119
A l'Atelier,06 60 94 82 63,http://www.instagram.com/isabellepitrealatelier/,"28 Rue Traversière, 75012 Paris, France",0.0,0,IDF,48.8474754,2.3733521
Mo Team,07 61 47 27 01,http://www.moteam.eu/,"47 Rue Pierre Charron, 75008 Paris, France",4,2,IDF,48.8690119,2.3020762
Architecte d'intérieur Paris XIV- Mise en scène m² - Catherine Boisdon,06 09 32 24 28,https://www.m2-scene.com/,"17 Rue d'Odessa, 75014 Paris, France",5,13,IDF,48.8420526,2.3247932
Mo///architectes,01 48 96 99 56,https://moarchitectes.com/,"24 Rue de Stalingrad, 93310 Le Pré-Saint-Gervais, France",5,3,IDF,48.8871861,2.4010504
LO architectes,06 08 72 61 16,https://lo-architectes.com/,"7 Rue Pouchet, 75017 Paris, France",5,18,IDF,48.8921088,2.31876
Agence MOHA,01 45 05 12 36,http://www.moha-architecture.com/,"104 Rue de Longchamp, 75116 Paris, France",4.5,6,IDF,48.8662748,2.2812437
CALK-M Architectes,01 56 58 56 00,https://calk-m.com/,"8 Bd Jourdan, 75014 Paris, France",3,2,IDF,48.819862,2.3434233
Mon Concept Habitation,09 69 32 22 99,https://www.monconcepthabitation.com/,"105 Rue La Fayette, 75010 Paris, France",4.5,214,IDF,48.8777464,2.3502734
Petovello Marie - Atelier M - Architecte spécialiste en crèche,06 72 99 50 76,https://cargocollective.com/mariepetovello,"60 Rue des Batignolles, 75017 Paris, France",0.0,0,IDF,48.88639329999999,2.3189316
B+M Architecture,01 43 14 00 69,http://www.bplusm.fr/,"14 Rue de la Grange Batelière, 75009 Paris, France",0.0,0,IDF,48.87341720000001,2.3415333
studio m | Sylvain Marceau,06 58 87 57 10,https://studio-m-paris.fr/,"Cité du Wauxhall, 75010 Paris, France",5,12,IDF,48.8692132,2.3627647
A+M Architecture,06 11 25 98 02,http://www.a-plus-m.com/,"45 Rue de Fécamp, 75012 Paris, France",0.0,0,IDF,48.8365432,2.4009349
Archi-HQE,07 45 22 02 14,https://www.archi-hqe.fr/,"25 Rue de Ponthieu, 75008 Paris, France",5,27,IDF,48.8706045,2.3091347
BäN architecture - Architecte à Paris,06 28 62 83 87,http://ban-architecture.com/,"167 Rue du Faubourg Saint-Antoine, 75011 Paris, France",4.3,15,IDF,48.8505968,2.3802907
MVMS Architectes,09 81 16 69 80,http://www.mvms-architectes.com/,"28 Rue Nicolaï, 75012 Paris, France",5,6,IDF,48.8363806,2.3950741
23 Août Architecture,06 52 45 87 90,http://23aoutarchitecture.com/,"148 Rue de Grenelle, 75007 Paris, France",5,7,IDF,48.8581788,2.3107058
M'CUB architectes,02 97 61 39 20,https://www.mcub.eu/,"84 Rue Edouard Vaillant, 93100 Montreuil, France",4.5,2,IDF,48.8532137,2.4310313
Sylvie Moreau architecte - AdisA - Paris 9,06 66 82 89 62,https://sylviem75-architecte.com/,"30 Rue Pierre Semard, 75009 Paris, France",5,8,IDF,48.8787744,2.3484306
Studio Louismorgan,,http://www.studiolouismorgan.com/,"34 Rue Boursault, 75017 Paris, France",4.7,9,IDF,48.8849502,2.3204357
Xavier Lemoine Architecture d’Intérieur,07 84 15 01 80,https://www.xavierlemoine.com/,"47 Rue de Prony, 75017 Paris, France",4.6,28,IDF,48.8818665,2.3048241
Mo-ah - Architecture Intérieure,06 85 12 60 32,https://www.mo-ah.fr/,"18 Rue Lécluse, 75017 Paris, France",3.7,3,IDF,48.8844849,2.325373
Agence MOA architecture Paris,04 91 55 65 72,http://moa-architecture.com/,"13 Rue Eva Kotchever, 75018 Paris, France",0.0,0,IDF,48.89735109999999,2.3569021
Agence Glenn Medioni,06 65 17 67 22,http://www.glennmedioni.com/,"34 Bd de Clichy, 75018 Paris, France",4.4,28,IDF,48.8829381,2.3366423
Wilmotte & Associés SAS d’Architecture,01 53 02 22 22,http://www.wilmotte.com/,"68 Rue du Faubourg Saint-Antoine, 75012 Paris, France",4.4,27,IDF,48.8517491,2.3737473
MAO / MOBILE ARCHITECTURAL OFFICE,09 50 49 59 83,http://mobilearchitecturaloffice.com/,"12 Rue de Valenciennes, 75010 Paris, France",2.3,6,IDF,48.8784065,2.354566
L+M ARCHITECTES,01 53 40 96 93,http://lm-architectes.eu/?page_id=2,"4 Pass. du Grand Cerf, 75002 Paris, France",0.0,0,IDF,48.86477430000001,2.3498044
AREA Studio,06 76 18 71 73,http://www.area-studio.eu/,"9 Rue Dautancourt, 75017 Paris, France",5,9,IDF,48.889354,2.3238807
Axel Schoenert architectes,01 44 55 34 80,http://www.as-architecture.com/,"20 Av. de l'Opéra, 75001 Paris, France",4.6,30,IDF,48.8658998,2.3346067
RencontreUnArchi,09 82 49 15 49,http://www.rencontreunarchi.com/,"34 Rue du Dragon, 75006 Paris, France",4,106,IDF,48.85292399999999,2.330188
3m³_architecte,06 72 08 83 14,https://3m3-architecte.fr/,"212 Rue Saint-Maur, 75010 Paris, France",5,8,IDF,48.873284,2.3712039
mo,06 47 63 14 11,https://www.studiolehnac.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13441465352964725238,"75 Rue de Paradis, 75010 Paris, France",0.0,0,IDF,48.8758333,2.3483321
nea architects,01 42 77 92 32,https://www.nea-architects.net/,"32 Rue Saint-Antoine, 75004 Paris, France",1,2,IDF,48.8540487,2.3652233
Brillet & Moizan Architectes,07 66 37 44 90,https://www.instagram.com/brilletmoizan.architecture/,"35 Av. Jean Jaurès, 93310 Le Pré-Saint-Gervais, France",5,2,IDF,48.8821702,2.4085834
Soa architectes,01 42 62 18 11,https://www.soa-architectes.fr/,"44 Rue Amelot, 75011 Paris, France",4,8,IDF,48.8586378,2.3685387
Dessine-Moi Un Bureau | MS de Lesseux | Consultante en architecture d'interieur,06 03 44 13 12,https://www.dessinemoiunbureau.com/copie-de-accueil,"114 Bd Saint-Germain, 75006 Paris, France",5,20,IDF,48.852151,2.341218
Atelier M3 Sarl d'Architecture,01 45 05 10 18,https://www.atelier-m3.fr/,"83 Bd du Montparnasse, 75006 Paris, France",4.7,3,IDF,48.8434515,2.3258013
Ségolène Toussaint Architecte d'Intérieur haut de gamme - Paris,06 69 73 68 82,http://segolenetoussaint.fr/,"13 bis Rue de l'Église, 92200 Neuilly-sur-Seine, France",0.0,0,IDF,48.88582719999999,2.2639268
mue atelier d'architecture,,http://ateliermue.fr/,"59 Rue du Faubourg du Temple, 75010 Paris, France",0.0,0,IDF,48.8698334,2.371371
2BDM Architectes,01 42 26 76 10,http://www.2bdm.fr/,"60-62 Rue d'Hauteville, 75010 Paris, France",4.7,6,IDF,48.8747396,2.3508327
Eloïse Gingeyne - EGGD - Architecte d'intérieur - Paris,06 31 85 09 15,https://eloisegingeyne.com/,"Av. Daumesnil, 75012 Paris, France",4.9,21,IDF,48.83797,2.3996855
RM Architecte,01 77 13 68 06,http://www.rm-architecte-paris.com/,"126 Rue du Faubourg Poissonnière, 75010 Paris, France",4.4,29,IDF,48.879933,2.3497742
JOD ARCHITECTURE,01 45 23 49 50,https://jodarchitecture.wordpress.com/,"51 Rue de l'Échiquier, 75010 Paris, France",2.9,44,IDF,48.87182869999999,2.3482618
